Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Organism (ID)	Proteomes	Taxonomic lineage (Ids)	AlphaFoldDB
F2Z2N5	unreviewed	F2Z2N5_HUMAN	Serine protease 16	PRSS16	Homo sapiens (Human)	257	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F2Z2N5;
F5GWT8	unreviewed	F5GWT8_HUMAN	Serpin family B member 11	SERPINB11	Homo sapiens (Human)	135	9606	UP000005640: Chromosome 18	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5GWT8;
F5GX83	unreviewed	F5GX83_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	448	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5GX83;
F5GXT6	unreviewed	F5GXT6_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	44	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
F5GY03	unreviewed	F5GY03_HUMAN	Secreted protein acidic and cysteine rich	SPARC	Homo sapiens (Human)	149	9606	UP000005640: Chromosome 5	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5GY03;
F5GYA3	unreviewed	F5GYA3_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	388	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5GYA3;
F5GYW9	unreviewed	F5GYW9_HUMAN	Serpin family B member 11	SERPINB11	Homo sapiens (Human)	392	9606	UP000005640: Chromosome 18	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5GYW9;
F5H0U3	unreviewed	F5H0U3_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	344	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5H0U3;
F5H2M3	unreviewed	F5H2M3_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	413	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5H2M3;
F5H6C6	unreviewed	F5H6C6_HUMAN	Serine protease 54	PRSS54	Homo sapiens (Human)	296	9606	UP000005640: Chromosome 16	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5H6C6;
F5H8D2	unreviewed	F5H8D2_HUMAN	Transmembrane serine protease 5	TMPRSS5	Homo sapiens (Human)	17	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5H8D2;
F8WBF8	unreviewed	F8WBF8_HUMAN	Serine protease 37	PRSS37	Homo sapiens (Human)	68	9606	UP000005640: Chromosome 7	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WBF8;
F8WBG5	unreviewed	F8WBG5_HUMAN	Serine protease 16	PRSS16	Homo sapiens (Human)	92	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WBG5;
F8WBX2	unreviewed	F8WBX2_HUMAN	Transmembrane serine protease 12	TMPRSS12	Homo sapiens (Human)	320	9606	UP000005640: Chromosome 12	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WBX2;
F8WCQ4	unreviewed	F8WCQ4_HUMAN	rhomboid protease (EC 3.4.21.105)	PARL	Homo sapiens (Human)	173	9606	UP000005640: Chromosome 3	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
F8WCZ2	unreviewed	F8WCZ2_HUMAN	Transmembrane serine protease 7	TMPRSS7	Homo sapiens (Human)	129	9606	UP000005640: Chromosome 3	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WCZ2;
F8WDA6	unreviewed	F8WDA6_HUMAN	Serine protease 37	PRSS37	Homo sapiens (Human)	65	9606	UP000005640: Chromosome 7	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WDA6;
F8WE70	unreviewed	F8WE70_HUMAN	Serpin family B member 13	SERPINB13	Homo sapiens (Human)	165	9606	UP000005640: Chromosome 18	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WE70;
F8WF25	unreviewed	F8WF25_HUMAN	Serine protease 16	PRSS16	Homo sapiens (Human)	99	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F8WF25;
G3V124	unreviewed	G3V124_HUMAN	Transmembrane protease, serine 4, isoform CRA_c (Transmembrane serine protease 4)	TMPRSS4 hCG_41152	Homo sapiens (Human)	335	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V1W5	unreviewed	G3V1W5_HUMAN	HCG2045367 (Transmembrane serine protease 7)	TMPRSS7 hCG_2045367	Homo sapiens (Human)	182	9606	UP000005640: Chromosome 3	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V264	unreviewed	G3V264_HUMAN	Serpin family A member 5	SERPINA5	Homo sapiens (Human)	172	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V264;
G3V265	unreviewed	G3V265_HUMAN	Serpin family A member 5	SERPINA5	Homo sapiens (Human)	157	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V265;
G3V2B9	unreviewed	G3V2B9_HUMAN	Serpin family A member 1	SERPINA1	Homo sapiens (Human)	105	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V2B9;
G3V2M1	unreviewed	G3V2M1_HUMAN	Serpin family A member 5	SERPINA5	Homo sapiens (Human)	231	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V2M1;
G3V2W1	unreviewed	G3V2W1_HUMAN	Protein Z-dependent protease inhibitor (Serpin family A member 10) (Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 10, isoform CRA_a)	SERPINA10 hCG_22331	Homo sapiens (Human)	484	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V350	unreviewed	G3V350_HUMAN	Corticosteroid-binding globulin (Serpin family A member 6) (Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 6, isoform CRA_a)	SERPINA6 hCG_22332	Homo sapiens (Human)	278	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V3A0	unreviewed	G3V3A0_HUMAN	Serpin family A member 3 (Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 3, isoform CRA_a)	SERPINA3 hCG_2039549	Homo sapiens (Human)	205	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V482	unreviewed	G3V482_HUMAN	Serpin family A member 5	SERPINA5	Homo sapiens (Human)	144	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V482;
G3V4V7	unreviewed	G3V4V7_HUMAN	Corticosteroid-binding globulin (Serpin family A member 6)	SERPINA6	Homo sapiens (Human)	136	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V544	unreviewed	G3V544_HUMAN	Alpha-1-antitrypsin (Serpin family A member 1)	SERPINA1	Homo sapiens (Human)	156	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G3V595	unreviewed	G3V595_HUMAN	Serpin family A member 3	SERPINA3	Homo sapiens (Human)	305	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	G3V595;
G5EA43	unreviewed	G5EA43_HUMAN	Transmembrane protease, serine 5 (Spinesin), isoform CRA_b (Transmembrane serine protease 5)	TMPRSS5 hCG_1730733	Homo sapiens (Human)	198	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
G5EA47	unreviewed	G5EA47_HUMAN	Transmembrane protease, serine 5 (Spinesin), isoform CRA_a (Transmembrane serine protease 5)	TMPRSS5 hCG_1730733	Homo sapiens (Human)	147	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
H0Y2V5	unreviewed	H0Y2V5_HUMAN	WAP four-disulfide core domain 3	WFDC3	Homo sapiens (Human)	225	9606	UP000005640: Chromosome 20	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
H0Y2Y0	unreviewed	H0Y2Y0_HUMAN	Cysteine protease ATG4B (Autophagy-related protein 4 homolog B)	ATG4B	Homo sapiens (Human)	76	9606	UP000005640: Chromosome 2	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
H0Y3Q0	unreviewed	H0Y3Q0_HUMAN	Proprotein convertase subtilisin/kexin type 6	PCSK6	Homo sapiens (Human)	797	9606	UP000005640: Chromosome 15	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	H0Y3Q0;
H0Y6R0	unreviewed	H0Y6R0_HUMAN	CDC42 binding protein kinase alpha	CDC42BPA	Homo sapiens (Human)	546	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
